item_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,node_feature_mode,rmse,mae,bias,r2_score,pocid,train_time_s,inference_time_s
26220,6269,42,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,42.12329512220045,27.402486882568184,-9.958250002533783,30.40183178237572,0.5657894736842105,21.00,0.1210
26220,6269,42,spearman,30,1,0.7,,True,False,True,catch24,43.75426855829938,33.15308707991457,19.379276412764405,35.010225152319435,0.5723684210526315,32.48,0.1220
26220,6269,42,spearman,30,1,0.7,,True,False,False,catch24,41.94934754597277,27.064436769173817,-1.3768307305628957,28.084990647920566,0.5986842105263158,80.59,0.4371
26220,6269,42,spearman,30,1,0.7,,True,False,False,stats,46.4282140029947,30.56574998727811,1.5314087937859928,31.238396696763377,0.6052631578947368,92.93,0.3750
26220,6269,42,spearman,30,1,0.7,,True,False,False,raw,44.995121917888326,29.164846476386575,1.3727117613250135,30.131950518372058,0.5855263157894737,73.03,0.3920
26220,6269,1000,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,42.93397086100594,27.538560187894536,-2.3620753880419763,28.942144324487096,0.6052631578947368,8.87,0.1130
26220,6269,1000,spearman,30,1,0.7,,True,False,True,catch24,40.99397100183153,27.626680246365616,3.4694314002990723,28.271013412581937,0.5328947368421053,48.01,0.1180
26220,6269,1000,spearman,30,1,0.7,,True,False,False,catch24,43.57050096663549,28.62290409499524,2.3445198613833758,29.5271064724124,0.5526315789473685,88.13,0.5240
26220,6269,1000,spearman,30,1,0.7,,True,False,False,stats,44.40907665993679,27.657970372368307,-3.039896142249014,29.879004958622726,0.5460526315789473,86.23,0.3915
26220,6269,1000,spearman,30,1,0.7,,True,False,False,raw,46.87949447914679,31.002778807496714,1.5324442371044285,31.57355300072368,0.5789473684210527,62.23,0.3915
26220,6269,26008,N/A,N/A,N/A,,,N/A,N/A,baseline,N/A,41.02703133544216,28.74863876704297,5.8412994528128435,29.161000222685033,0.5592105263157895,14.73,0.1160
26220,6269,26008,spearman,30,1,0.7,,True,False,True,catch24,43.121701361408185,29.93452156914605,8.998345668019812,31.29406748999556,0.5921052631578947,52.17,0.1210
26220,6269,26008,spearman,30,1,0.7,,True,False,False,catch24,43.9456319399807,30.153992961434756,5.769146972232395,30.953600953407136,0.5460526315789473,92.93,0.4190
26220,6269,26008,spearman,30,1,0.7,,True,False,False,stats,45.83474544866223,29.52495490102207,-3.139396517105352,31.083460578862972,0.5921052631578947,119.82,0.3680
26220,6269,26008,spearman,30,1,0.7,,True,False,False,raw,51.67583616938726,38.22161427666159,24.17267769458247,41.43649107750464,0.5328947368421053,62.06,0.4038
