product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,rmse,mae,bias,r2_score,pocid
907969,6269,42,spearman,15,1,0.85,,True,False,59.013978311418235,37.91163821694882,-18.06781219789072,-0.1260248538868436,0.6357615894039735
907969,6269,42,spearman,15,1,0.88,,True,False,54.57724370744117,34.74488611068381,-16.94153325514574,0.03692216281872407,0.6688741721854304
907969,6269,42,spearman,15,1,0.91,,True,False,54.04779610548896,34.83750131981153,-15.675472441668573,0.05551694627594228,0.6754966887417219
911753,6269,42,spearman,15,1,0.85,,True,False,35.69900170701926,23.86256712037874,-2.5808498801565483,0.07661031849804545,0.7019867549668874
911753,6269,42,spearman,15,1,0.88,,True,False,34.96483392979723,24.46307206095049,7.070200105050676,0.11419971910218985,0.6821192052980133
911753,6269,42,spearman,15,1,0.91,,True,False,35.161693973971005,22.18970850237498,2.0119160214733136,0.10419712170444206,0.695364238410596
907969,6269,42,spearman,15,1,0.85,,True,False,58.421755464763706,37.621819670557194,-20.75644169267463,-0.10353826322366655,0.6887417218543046
907969,6269,42,spearman,15,1,0.88,,True,False,54.57724370744117,34.74488611068381,-16.94153325514574,0.03692216281872407,0.6688741721854304
907969,6269,42,spearman,15,1,0.91,,True,False,54.04779610548896,34.83750131981153,-15.675472441668573,0.05551694627594228,0.6754966887417219
911753,6269,42,spearman,15,1,0.85,,True,False,35.132891846760124,24.55502091985392,-2.0027450104489137,0.10566408522617365,0.6291390728476821
911753,6269,42,spearman,15,1,0.88,,True,False,39.78193864243372,26.863143457884068,5.413729357386106,-0.1466866607071502,0.6821192052980133
911753,6269,42,spearman,15,1,0.91,,True,False,35.161693973971005,22.18970850237498,2.0119160214733136,0.10419712170444206,0.695364238410596
